Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,55995,9489.07,ucr,2821.19,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,100.0,2024-08-01T14_19_36
Zlib -1,27361,81.66,ucr,126.71,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,48.86,2024-08-01T14_19_36
Zlib -9,25660,6.43,ucr,263.08,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,45.83,2024-08-01T14_19_36
Zstd -1,24269,296.51,ucr,167.66,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,43.34,2024-08-01T14_19_36
Zstd -9,25243,22.22,ucr,337.36,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,45.08,2024-08-01T14_19_36
LZ4,42275,386.24,ucr,410.05,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,75.5,2024-08-01T14_19_36
LZO -1,39440,201.25,ucr,176.6,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,70.43,2024-08-01T14_19_36
LZO -9,39440,193.72,ucr,178.25,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,70.43,2024-08-01T14_19_36
Huffman,23503,434.3,ucr,304.18,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,41.97,2024-08-01T14_19_36
Snappy,39815,133.27,ucr,277.22,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,71.1,2024-08-01T14_19_36
Brotli -1,24893,162.58,ucr,88.03,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,44.46,2024-08-01T14_19_36
Brotli -9,25221,4.63,ucr,250.53,colmajor/uint8/ucr/Trace.dat,-1,1,8,0,f,55995,Delta,0,45.04,2024-08-01T14_19_36
Zlib -1,35422,504.64,ucr,712.08,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,6.51,2024-08-01T14_19_36
Zlib -9,25531,13.72,ucr,637.05,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,4.7,2024-08-01T14_19_36
Zstd -1,30654,1208.12,ucr,873.01,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,5.64,2024-08-01T14_19_36
Zstd -9,25523,217.01,ucr,1369.37,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,4.69,2024-08-01T14_19_36
LZ4,47751,2320.02,ucr,669.61,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,8.78,2024-08-01T14_19_36
LZO -1,47730,881.5,ucr,487.78,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,8.78,2024-08-01T14_19_36
LZO -9,47730,1764.84,ucr,489.56,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,8.78,2024-08-01T14_19_36
Huffman,91338,517.85,ucr,542.82,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,16.8,2024-08-01T14_19_36
Snappy,57780,1082.24,ucr,544.51,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,10.63,2024-08-01T14_19_36
Brotli -1,31227,435.32,ucr,153.32,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,5.74,2024-08-01T14_19_36
Brotli -9,24452,24.86,ucr,966.7,colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,4.5,2024-08-01T14_19_36
Zlib -1,37935,489.45,ucr,707.21,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,6.98,2024-08-01T14_19_36
Zlib -9,31293,19.83,ucr,546.04,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,5.76,2024-08-01T14_19_36
Zstd -1,31489,1380.48,ucr,549.13,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,5.79,2024-08-01T14_19_36
Zstd -9,29673,298.8,ucr,1407.44,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,5.46,2024-08-01T14_19_36
LZ4,45373,2360.08,ucr,1819.2,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,8.34,2024-08-01T14_19_36
LZO -1,47188,2653.11,ucr,1249.25,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,8.68,2024-08-01T14_19_36
LZO -9,47188,2654.41,ucr,1079.32,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,8.68,2024-08-01T14_19_36
Huffman,92677,895.3,ucr,954.39,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,17.04,2024-08-01T14_19_36
Snappy,62842,2552.19,ucr,1315.31,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,11.56,2024-08-01T14_19_36
Brotli -1,31884,1236.78,ucr,207.22,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,5.86,2024-08-01T14_19_36
Brotli -9,29534,26.76,ucr,902.67,colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,1,8,0,f,543745,Delta,0,5.43,2024-08-01T14_19_36
Zlib -1,61812,77.83,ucr,233.98,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,61.15,2024-08-01T14_19_36
Zlib -9,58623,15.63,ucr,220.27,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,57.99,2024-08-01T14_19_36
Zstd -1,59188,349.92,ucr,382.35,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,58.55,2024-08-01T14_19_36
Zstd -9,57545,26.79,ucr,244.72,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,56.93,2024-08-01T14_19_36
LZ4,93566,648.99,ucr,560.62,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,92.56,2024-08-01T14_19_36
LZO -1,87386,411.11,ucr,204.16,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,86.44,2024-08-01T14_19_36
LZO -9,87386,165.77,ucr,213.13,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,86.44,2024-08-01T14_19_36
Huffman,59517,447.49,ucr,362.36,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,58.88,2024-08-01T14_19_36
Snappy,88444,137.65,ucr,313.86,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,87.49,2024-08-01T14_19_36
Brotli -1,59363,91.73,ucr,88.32,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,58.72,2024-08-01T14_19_36
Brotli -9,57448,5.11,ucr,215.29,colmajor/uint8/ucr/TwoLeadECG.dat,-1,1,8,0,f,101089,Delta,0,56.83,2024-08-01T14_19_36
Zlib -1,93191,101.52,ucr,269.54,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,39.1,2024-08-01T14_19_36
Zlib -9,83031,2.98,ucr,296.67,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,34.84,2024-08-01T14_19_36
Zstd -1,92391,292.4,ucr,506.46,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,38.77,2024-08-01T14_19_36
Zstd -9,84403,32.17,ucr,610.55,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,35.41,2024-08-01T14_19_36
LZ4,118589,492.17,ucr,1156.23,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,49.76,2024-08-01T14_19_36
LZO -1,115754,477.49,ucr,438.06,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,48.57,2024-08-01T14_19_36
LZO -9,115754,476.0,ucr,440.95,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,48.57,2024-08-01T14_19_36
Huffman,100341,970.88,ucr,873.35,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,42.1,2024-08-01T14_19_36
Snappy,113004,393.3,ucr,420.94,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,47.41,2024-08-01T14_19_36
Brotli -1,90155,130.1,ucr,144.54,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,37.83,2024-08-01T14_19_36
Brotli -9,82052,8.51,ucr,351.87,colmajor/uint8/ucr/Earthquakes.dat,-1,1,8,0,f,238332,Delta,0,34.43,2024-08-01T14_19_36
Zlib -1,64963,288.87,ucr,518.48,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,11.95,2024-08-01T14_19_36
Zlib -9,48072,8.34,ucr,564.41,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,8.84,2024-08-01T14_19_36
Zstd -1,59692,680.56,ucr,816.52,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,10.98,2024-08-01T14_19_36
Zstd -9,48723,105.46,ucr,1016.22,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,8.96,2024-08-01T14_19_36
LZ4,95811,1178.96,ucr,1393.35,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,17.62,2024-08-01T14_19_36
LZO -1,91930,1171.81,ucr,799.34,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,16.91,2024-08-01T14_19_36
LZO -9,91930,1170.54,ucr,804.06,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,16.91,2024-08-01T14_19_36
Huffman,130336,927.16,ucr,548.56,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,23.97,2024-08-01T14_19_36
Snappy,96696,556.48,ucr,607.4,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,17.78,2024-08-01T14_19_36
Brotli -1,58813,593.18,ucr,321.91,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,10.82,2024-08-01T14_19_36
Brotli -9,47057,16.16,ucr,719.26,colmajor/uint8/ucr/ScreenType.dat,-1,1,8,0,f,543745,Delta,0,8.65,2024-08-01T14_19_36
Zlib -1,238463,92.91,ucr,285.92,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,38.44,2024-08-01T14_19_36
Zlib -9,206105,2.7,ucr,313.98,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,33.22,2024-08-01T14_19_36
Zstd -1,216462,281.84,ucr,578.29,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,34.89,2024-08-01T14_19_36
Zstd -9,204904,23.73,ucr,548.3,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,33.03,2024-08-01T14_19_36
LZ4,366663,418.03,ucr,1070.29,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,59.1,2024-08-01T14_19_36
LZO -1,340114,432.63,ucr,437.21,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,54.82,2024-08-01T14_19_36
LZO -9,340114,431.31,ucr,434.99,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,54.82,2024-08-01T14_19_36
Huffman,244004,1094.89,ucr,959.48,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,39.33,2024-08-01T14_19_36
Snappy,339409,345.81,ucr,677.54,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,54.71,2024-08-01T14_19_36
Brotli -1,230525,188.41,ucr,215.41,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,37.16,2024-08-01T14_19_36
Brotli -9,201382,5.14,ucr,362.08,colmajor/uint8/ucr/ShapesAll.dat,-1,1,8,0,f,620395,Delta,0,32.46,2024-08-01T14_19_36
